provider,model,index,status,time_s,utc_completed,input_tokens,output_tokens,cached_tokens
google,gemini-2.5-flash,32,Success,80.716,2025-06-24T09:02:52,2630,313,2389
google,gemini-2.5-flash-lite-preview-06-17,33,Success,83.415,2025-06-24T09:02:54,2623,65,2389
google,gemini-2.5-flash,33,Success,83.426,2025-06-24T09:02:54,2623,340,2389
google,gemini-2.5-flash-lite-preview-06-17,34,Success,84.491,2025-06-24T09:02:56,2542,79,2389
google,gemini-2.5-flash,34,Success,84.492,2025-06-24T09:02:56,2542,172,2389
google,gemini-2.5-flash-lite-preview-06-17,35,Success,87.011,2025-06-24T09:02:58,2553,96,2389
google,gemini-2.5-flash,35,Success,87.012,2025-06-24T09:02:58,2553,206,2389
google,gemini-2.5-flash-lite-preview-06-17,36,Success,87.857,2025-06-24T09:02:59,2556,109,2389
google,gemini-2.5-flash,36,Success,87.867,2025-06-24T09:02:59,2556,238,2389
google,gemini-2.5-flash-lite-preview-06-17,37,Success,92.197,2025-06-24T09:03:03,2695,227,2389
google,gemini-2.5-flash,37,Success,92.208,2025-06-24T09:03:03,2695,502,2389
google,gemini-2.5-flash-lite-preview-06-17,38,Success,92.411,2025-06-24T09:03:03,2549,255,2389
google,gemini-2.5-flash,38,Success,92.412,2025-06-24T09:03:03,2549,374,2389
google,gemini-2.5-flash-lite-preview-06-17,39,Success,95.535,2025-06-24T09:03:07,2622,292,2389
google,gemini-2.5-flash,39,Success,95.546,2025-06-24T09:03:07,2622,327,2389
google,gemini-2.5-flash-lite-preview-06-17,41,Success,99.231,2025-06-24T09:03:10,2600,99,2389
google,gemini-2.5-flash,41,Success,99.232,2025-06-24T09:03:10,2600,271,2389
google,gemini-2.5-flash-lite-preview-06-17,40,Success,99.752,2025-06-24T09:03:11,2675,175,2389
google,gemini-2.5-flash,40,Success,99.753,2025-06-24T09:03:11,2675,767,2389
google,gemini-2.5-flash-lite-preview-06-17,42,Success,103.354,2025-06-24T09:03:14,2657,315,2389
google,gemini-2.5-flash,42,Success,103.355,2025-06-24T09:03:14,2657,674,2389
google,gemini-2.5-flash-lite-preview-06-17,43,Success,105.3,2025-06-24T09:03:16,2603,145,2389
google,gemini-2.5-flash,43,Success,105.301,2025-06-24T09:03:16,2603,342,2389
google,gemini-2.5-flash-lite-preview-06-17,44,Success,107.629,2025-06-24T09:03:19,2632,151,2389
google,gemini-2.5-flash,44,Success,107.639,2025-06-24T09:03:19,2632,489,2389
google,gemini-2.5-flash-lite-preview-06-17,45,Success,109.351,2025-06-24T09:03:20,2650,134,2389
google,gemini-2.5-flash,45,Success,109.363,2025-06-24T09:03:20,2650,416,2389
google,gemini-2.5-flash-lite-preview-06-17,46,Success,111.888,2025-06-24T09:03:23,2648,262,2389
google,gemini-2.5-flash,46,Success,111.898,2025-06-24T09:03:23,2648,423,2389
google,gemini-2.5-flash-lite-preview-06-17,47,Success,113.111,2025-06-24T09:03:24,2589,108,2389
google,gemini-2.5-flash,47,Success,113.122,2025-06-24T09:03:24,2589,377,2389
google,gemini-2.5-flash-lite-preview-06-17,48,Success,115.085,2025-06-24T09:03:26,2507,71,2389
google,gemini-2.5-flash,48,Success,115.086,2025-06-24T09:03:26,2507,199,2389
google,gemini-2.5-flash-lite-preview-06-17,49,Success,116.028,2025-06-24T09:03:27,2520,63,2389
google,gemini-2.5-flash,49,Success,116.029,2025-06-24T09:03:27,2520,186,2389
google,gemini-2.5-flash-lite-preview-06-17,51,Success,118.865,2025-06-24T09:03:30,2654,249,2389
google,gemini-2.5-flash,51,Success,118.875,2025-06-24T09:03:30,2654,262,2389
google,gemini-2.5-flash-lite-preview-06-17,50,Success,119.864,2025-06-24T09:03:31,2625,127,2389
google,gemini-2.5-flash,50,Success,119.865,2025-06-24T09:03:31,2625,379,2389
